shot,tc_in,dur_s,act,description,framing,camera_motion,shoot_fps,cut_type,capcut_treatment,audio_layer,on_screen_text,location,notes
3.11,00:22.1,0.9,3,"Akagera - herd, giraffe neck, tall grass bending in wind","Wide, telephoto compress",Static,60,B,"Temp +8, Glow 12",Savanna ambience,,Akagera NP,Compression flattens the heat.
3.12,00:23.0,1.0,3,"A silverback in the bamboo, calmly chewing, looks up into the lens","CU, 200mm",Locked,60,B -> break,HELD FRAME - let the look land,Forest silence + one breath,,Volcanoes NP,Cut to blackout/music-out on the gaze.
3.13,00:24.0,3.0,3,BREAKDOWN - music drops out completely,-,-,-,-,Split A1 at 24.0 and 27.0; middle piece -14dB with 0.4s fades; fill with A2 wind + one slow heartbeat drum + low riser,"Wind, single heartbeat drum, riser",,-,3 seconds of near-silence. Do not fill it.
4.01,00:24.0,1.4,4A,Woman in umushanana begins umushagiriro - arms rising like inyambo horns,"Full body, 9:16, centred",Locked,120,D from 3.12,"Speed 0.4x + Smooth slow-mo OPTICAL FLOW. If fabric smears, back off to 0.6x",Drums only,,Performance ground,Must be butter.
4.02,00:25.4,1.1,4A,"Her hands - wrist turning, fingers extending",ECU,Slow dolly,120,-,"0.4x Optical Flow; HSL Orange: skin luminance +10, sat +4",Drums only,,Performance ground,Do not over-smooth skin.
4.03,00:26.5,1.0,4A,"Fabric of the umushanana sliding, sash trailing",CU,Static,240,-,Speed 0.3x; Soft Focus 8,Fabric,,Performance ground,The breath before the storm.
4.04,00:27.5,0.5,4B,"THE LEAP - full Intore line jumps simultaneously, manes airborne, spears up","Wide, low angle",Locked,240,H (DROP 2),Speed Customized: 1x > 0.5x at apex > 1x on landing. Apex sits ON the downbeat. Sub-boom + real stomp at -3dB,Sub-boom + stomp + crowd,INTORE - UMUHAMIRIZO,Performance ground,"Signature shot. Ramp OFF the beat, not into it."
4.05,00:28.0,0.4,4B,"Landing - feet hit earth, dust explodes upward",Ground-level CU,Locked,240,B,Speed Customized: 1x > 0.2x for 5f > 1.2x. Bling Shake 12 for 4 frames only,LOUD IMPACT - loudest point in the whole mix,,Performance ground,THE signature shot of the film.
4.06,00:28.4,0.4,4B,"Dancer's face mid-cry, sweat, mane across the eyes",ECU,Handheld,120,B,"Freeze 2 frames on beat then release; contrast +12, clarity +15",War cry,,Performance ground,
4.07,00:28.8,0.4,4B,Spear thrust forward into the lens,"CU, foreground",-,60,B,Bling Zoom 15 on thrust frame; hard whoosh,Whoosh + spear cut,,Performance ground,
4.08,00:29.2,0.5,4B,Shields clashing in unison across the line,Wide,Locked,60,B,A3 shield-clack full level; duck A1 by 5dB for 8 frames,Shield clack,,Performance ground,
4.09,00:29.7,0.5,4B,Ankle bells in a blur of stomp,ECU,Static,240,B,"Speed 0.35x; bell audio isolated, pitched slightly up",amayugi bells,,Performance ground,
4.10,00:30.2,0.5,4B,Formation change - line collapses and reforms,Top-down wide,Drone,60,B,Keyframe Rotation 0>8deg over the clip,Stomps,,Performance ground,Top-down = graphic relief.
4.11,00:30.7,0.4,4B,"A woman dancing umuhamirizo - reclaiming the warrior dance, full commitment leap",MS,Handheld pan,240,B,0.5x curve. Hold her leap as long as the men's,War cry,,Performance ground,Deliberate inclusion. Non-negotiable.
4.12,00:31.1,0.4,4B,"Drummers - full umutagara ensemble, sticks blurring",Wide detail,Handheld,120,B,Speed 1.1x (over real time reads as frenzy),Full ensemble,,Drum line,
4.13,00:31.5,0.5,4B,"A child mimics the leap in the foreground, delighted; dancers soft behind",Two-plane MS,Static,60,B,Blur 20 on the background plane (depth-of-field effect),Child giggle,,Audience edge,Two-plane depth = production value.
4.14,00:32.0,0.5,4B,"Ibyivugo - poet steps forward reciting self-praise verse, arm outstretched",MCU,Slow push,60,B,"Keyframe Scale 100>106. If he speaks, duck A1 to -10dB for the line",Ibyivugo voice (A5),,Performance ground,Optional spoken line #1.
4.15,00:32.5,0.4,4B,"Horn (amakondera) player, cheeks full - the traditional arrival cue",CU,Static,60,B,Real horn hit in A3,Horn,,Performance ground,Horns announce the Intore's arrival.
4.16,00:32.9,0.5,4B,"Three leaps, jump-cut in sequence, same framing, different dancers","Wide, locked",Locked,240,B x3,Three 5-frame cuts inside one beat cluster - reads as a drum roll,Three stomps,,Performance ground,Identical framing is what makes it work.
4.17,00:33.4,0.5,4B,"The mane filling the frame, whipping sideways in slow motion",ECU,-,240,B,"Speed 0.3x; Glow 20, highlights +15",Sisal whoosh,,Performance ground,Most beautiful texture in the film. Shape echo -> 5.05.
4.18,00:33.9,0.6,4B,"Whole line at the apex of a leap, silhouetted against a low sun","Wide, backlit",Locked,120,B,"Exposure -15 (crush to silhouette), highlights +20 (keep the rim)",Unison stomp,,Performance ground,
4.19,00:34.5,0.5,4B,"Crowd clapping, hands in unison, faces lit",Wide,Handheld,60,B,Crowd clap at -4dB - carries into Act 5,CROWD CLAP,,Audience,The handoff to the exhale.
5.01,00:38.0,3.0,5,"THE EXHALE - one held shot: dancer chest heaving, sweat, a slow smile breaking; or dust hanging in golden light as everything goes quiet",MCU,Locked,240,from 4.19,Speed 0.35x + Optical Flow. Halo Blur 12. ONE CONTINUOUS SHOT - do not cut it. Protect from effects creep.,"Music sustains under, near-silence",,Performance ground,Emotional peak of the film.
5.02,00:41.0,1.5,5,"Grandmother's hands weaving agaseke (peace basket), geometric coil","Macro, 9:16",Slow dolly,60,D,"Keyframe Scale 100>104; temp +12, Glow 10",Fibre rasp,,Craft co-op,Abantu n'igihugu card at 00:41.2
5.03,00:42.5,1.2,5,"An elder's face, full frame, still - he looks into the lens and holds it",ECU portrait,Locked,60,D,"Grain 12, soft vignette 8. NO other effect. Hold it.",Silence + distant drum,,Community,Stillness after 38s of movement is the point.
5.04,00:43.7,1.2,5,"Children running a dirt path between banana trees, laughing, toward camera",MS,Gimbal backing up,120,B,Speed 0.7x; laughter A2 -10dB,Children laughing,,Rural path,
5.05,00:44.9,1.3,5,"Rolling hills at golden hour, terraced, mist returning - full circle to Act 1",Extreme wide,Drone pull-back,60,X,"Effects Nature Sunset 15 OR manual: temp +14, highlights -10, shadows +8, Glow 18",Wind,,Thousand hills,Shape echo from 4.17 mane.
5.06,00:46.2,1.0,5,"A face in the crowd watching the dancers - tears or laughter, ambiguous, alive",CU,Handheld,60,D,HSL Orange luminance +10. NO effect. Faces don't need help.,Crowd murmur,,Audience,
5.07,00:47.2,0.8,5,"Water again - Lake Kivu, now gold instead of grey, sun on the surface",Wide,Static,60,D,"Direct colour rhyme with 1.03: same framing, opposite temperature",Water lap,,Lake Kivu,
6.01,00:48.0,1.2,6,"Everyone dancing - a visitor, clumsy and joyful, pulled into the line by a dancer","Wide, 9:16",Gimbal orbit,60,B,Speed 0.8x; crowd + drum audio full,Full crowd + drums,,Community ground,THESIS SHOT: recreation as belonging.
6.02,00:49.2,1.0,6,Hands clapping across the circle cut with feet stomping earth,CU x2,Static,120,B x2,Two 4-frame cuts. Pure rhythm.,Claps + stomps,,Community ground,
6.03,00:50.2,1.2,6,"Full troupe + crowd, one frame, dancing together at golden hour",Wide,Drone rising,60,B,Keyframe Scale 100>90 AND Position Y +120px together (drone-lift feel),Ensemble,,Community ground,
6.04,00:51.4,1.0,6,"A dancer's leap against the setting sun, silhouette","Wide, backlit",Locked,120,B,"Exposure -18, rim highlights +22",Stomp,,Community ground,Thumbnail candidate.
6.05,00:52.4,1.4,6,"Lake Kivu at dusk, longhorn inyambo cattle silhouetted along the shore",Wide,Slow dolly,60,D,Sunset Rays 18 low intensity; temp +16,Cattle + water,,Lake Kivu shore,
6.06,00:53.8,1.4,6,"Night - a fire, sparks rising, faces lit orange, drumming continuing off-frame","MS, fire-backlit",Handheld,60,D,Particles/Sparkle 12 for embers; firelight in A3,Fire crackle + distant drums,,Night camp,
6.07,00:55.2,1.6,6,"THE LAST FACE - a dancer catching breath, looks straight into the lens and smiles. Hold.",ECU,Locked,120,D,Speed 0.8x. HOLD for the final drum hit at 00:56.8,"Breath, then final drum hit",,Night camp,Music decays to ambience only.
6.08,00:56.8,2.0,6,"Wide of the hills at dusk, mist returning - the same valley as 1.01. Full circle.",Extreme wide,Locked,60,D,"Same grade as 1.01 but warmer. Ends in the same place, changed.",Ambience only,,Virunga valley,
6.09,00:58.8,1.2,6,CLOSING CARD,Title card,-,-,Fade,Text In: Fade+Blur; Out: Fade. Fade to black over last 12 frames.,Ambience tail,UMURIRO W'URWANDA / Come to rest. Leave dancing. / Rwanda - Land of a Thousand Hills,-,"3 stacked text blocks, staggered 6 frames apart."
