shot,tc_in,dur_s,act,description,stock_tier,search_keywords_primary,search_keywords_alt,suggested_libraries,stock_fps_note,license_caution,fallback_if_unavailable,framing,camera_motion,target_fps_designed,cut_type,capcut_treatment,audio_layer,on_screen_text,location,notes
2.07,00:09.6,0.9,2,Woman adjusts her umushanana sash; fabric slides,C,African woman traditional dress fabric flowing,umushanana; East African woman wrapped dress slow motion,"Pond5, Getty, Shutterstock",50-60,EDITORIAL likely,"Substitute: any flowing-fabric slow motion in warm light (very plentiful); the audience reads 'ceremony', not the specific garment.","MS, backlit",Slow dolly,120,B,Speed 0.6x - fabric moves like water,Fabric slide,,Backstage,Visual seed for Act 4A.
2.08,00:10.5,0.8,2,"Spears and shields stacked, morning light raking across",C,African spears shields stacked,traditional weapons leaning wall; Zulu/African shields and spears,"Shutterstock, Pond5, Getty",24-30,Commercial or editorial,Substitute: graphic still - buy a single spear/shield object shot and build the rest with mask + grain.,Wide detail,Static,60,B,"Contrast +10, shadows -8",Wood + metal,,Backstage,Graphic hardness.
2.09,00:11.3,0.9,2,A child peeks through a gap at the dancers,A,child peeking doorway curious Africa,Rwandan children looking; African child face curious,"Getty, Shutterstock, Pond5",24-30,Commercial (model release),-,"CU, child's eye height",Handheld,60,B,Hold one beat longer than feels right,Crowd murmur,,Audience,The child is the audience surrogate.
2.10,00:12.2,0.9,2,"Dancers walking into frame in a line, backs to camera",B,African dancers walking line formation,traditional dance troupe walking; performers entering stage Africa,"Pond5, Getty, Shutterstock",24-30,EDITORIAL likely,-,"Wide, symmetrical",Gimbal follow,60,B,Keyframe Position to nudge with them (fake parallax),Footsteps on earth,,Performance ground,Symmetry matters.
2.11,00:13.1,0.9,2,Reverse angle: the line stops and turns as one to face us,B,African dancers turn to camera group,traditional dance troupe facing camera; Rwandan performance wide,"Pond5, Getty",24-30,EDITORIAL likely,-,Wide,Locked,60,B -> X,Cut on the exact frame the heads finish turning,Unison footfall,,Performance ground,Match cut to 3.01 via circle shape.
3.01,00:14.0,0.9,3,"Lake Kivu kayak/paddleboard at sunrise, paddle spray, rider grinning",B,kayak sunrise lake splash slow motion,paddleboard golden hour water spray; kayak Rwanda lake,"Artgrid, Filmsupply, Pond5, Shutterstock",50-60 or native slo-mo,Commercial,Plentiful as generic 'kayak sunrise'; Rwanda-specific is scarce. Generic reads fine here.,Wide > CU,Drone orbit,120,X from 2.11,"Speed Curve Hero: 1.4x in, 0.4x through splash, 1x out",Water spray + laughter,,Lake Kivu,Money frame = droplets in air.
3.02,00:14.9,0.8,3,"Cycling the Congo-Nile trail - wheel spinning, red earth, green blur",B,mountain bike wheel spinning dirt,cyclist gravel wheel close up Africa; bike mud spinning,"Artgrid, Filmsupply, Pond5",50-60,Commercial,-,Low CU on wheel,Tracking,120,B,Bling Shake 8 synced to wheel rotation,Tyre on gravel,,Congo-Nile trail,Rotation rhyme with 2.06.
3.03,00:15.7,0.7,3,"Rider POV over the handlebars, hills dropping away",B,mountain biking POV handlebars,cyclist POV go pro hills; gravel bike first person,"Filmsupply, Artgrid, Pond5",24-60,Commercial,Stabilise in CapCut regardless - POV stock is often shaky.,POV wide,Chest mount,60,B,STABILIZE on (Recommended); Bling Zoom 6,Wind + freewheel,,Congo-Nile trail,POV needs stabilisation.
3.04,00:16.4,0.8,3,"Hiking the Virunga - hand grabs a root, boots on wet rock, tilt up to volcano",A,hiking hand grabs rock root,trekker boots wet rock volcano; hiking mountain hands climb,"Artgrid, Filmsupply, Pond5",24-60,Commercial,-,ECU hands > tilt up,Handheld,60,B,Whoosh SFX on the tilt,Grit + breath,,Virunga / Musanze,Two shots in one move.
3.05,00:17.2,0.9,3,"Nyungwe canopy walk - steps onto the swaying bridge, looks down, laughs nervously",C,canopy walk bridge rainforest,Nyungwe canopy walkway; jungle suspension bridge tourist,"Pond5, Shutterstock, Getty",24-30,Commercial,Substitute: generic suspension bridge in forest + a separate 'looking down and laughing' portrait shot cut together.,"Wide, from below",Static,60,B,Keep the nervous laugh in A2 at -14dB,Nervous laugh + creak,,Nyungwe,Most human sound in Act 3.
3.06,00:18.1,0.7,3,Zipline / tree swing through rainforest,B,zipline rainforest,jungle zipline aerial; forest canopy flying rope swing,"Artgrid, Pond5, Shutterstock",24-60,Commercial,-,Wide,-,120,B,Speed 0.8x; Bling Shake 10 on launch frame,Zip cable whoosh,,Nyungwe,Launch frame = effect frame.
3.07,00:18.8,0.8,3,"Swimming - someone breaks the lake surface, backlit spray",A,swimming surface break slow motion backlit,water splash person surfacing golden; lake swimming slo-mo,"Artgrid, Filmsupply, Pond5",100-240 native slo-mo,Commercial,Buy NATIVE slow motion for this one - it is the shot most damaged by faking it.,CU,Surface/under,240,B,Speed Curve Bullet: 0.3x at surface break,Water break,,Lake Kivu,Signature ramp #2.
3.08,00:19.6,0.9,3,"Coffee/tea pickers at work, laughing between rows, baskets on heads",B,tea pickers working laughing,coffee harvest workers Africa; women picking tea plantation,"Pond5, Shutterstock, Getty",24-30,Commercial or editorial,-,MS in the rows,Gimbal lateral,60,B,Keep voices; warm grade,Voices + leaves,,Gisakura / Mata,Labour as recreation - do not silence it.
3.09,00:20.5,0.8,3,"Drumming workshop - visitors and locals both hitting drums, happily",B,drumming workshop group people,African drum circle participants; drumming class tourists,"Pond5, Shutterstock, Getty",24-30,Commercial or editorial,-,"Wide, participatory",Handheld,60,B,A3 drum audio swells here,Mixed drums,,Cultural centre,PIVOT SHOT: recreation > dance.
3.10,00:21.3,0.8,3,"Imigongo art being painted - geometric ochre patterns, hand draws a spiral",D,imigongo art painting Rwanda,African geometric pattern painting hands; ochre pattern art,"Pond5, Getty (editorial)",24-30,EDITORIAL likely,"BUILD IT: photograph a printed imigongo pattern yourself, animate a hand-drawn reveal with Mask -> Film, or replace with a spinning potter's wheel (plentiful) so the spiral match still works.",Macro,Static,60,B,-,Brush on panel,,Kibungo / craft co-op,Spiral echoes into 4.01 wrist turn.
3.11,00:22.1,0.9,3,"Akagera - herd, giraffe neck, tall grass bending in wind",A,Akagera savanna giraffe tall grass,African savanna giraffe sunset telephoto; elephants grassland Rwanda,"Artgrid, Getty, Pond5",24-60,Commercial,-,"Wide, telephoto compress",Static,60,B,"Temp +8, Glow 12",Savanna ambience,,Akagera NP,Compression flattens the heat.
3.12,00:23.0,1.0,3,"A silverback in the bamboo, calmly chewing, looks up into the lens",A,silverback gorilla close up eating,mountain gorilla Rwanda portrait; gorilla looks at camera forest,"Getty, Artgrid, Pond5, Shutterstock",24-60,Commercial,Plentiful but EXPENSIVE. Worth the splurge - it is the film's most arresting image.,"CU, 200mm",Locked,60,B -> break,HELD FRAME - let the look land,Forest silence + one breath,,Volcanoes NP,Cut to blackout/music-out on the gaze.
3.13,00:24.0,3.0,3,BREAKDOWN - music drops out completely,A,-,-,-,-,-,No picture needed: this is the music-out breakdown. Reuse a slowed tail of 3.12 or hold the last gorilla frame.,-,-,-,-,Split A1 at 24.0 and 27.0; middle piece -14dB with 0.4s fades; fill with A2 wind + one slow heartbeat drum + low riser,"Wind, single heartbeat drum, riser",,-,3 seconds of near-silence. Do not fill it.
4.01,00:24.0,1.4,4A,Woman in umushanana begins umushagiriro - arms rising like inyambo horns,C,Rwandan woman traditional dance graceful,umushagiriro cow dance; East African women dance slow elegant,"Pond5, Getty (editorial), Shutterstock",24-30,EDITORIAL likely,"Substitute: 'African woman dancing flowing dress slow motion' (plentiful, commercial) - arms raised. The horn-gesture specificity is lost; the grace is not.","Full body, 9:16, centred",Locked,120,D from 3.12,"Speed 0.4x + Smooth slow-mo OPTICAL FLOW. If fabric smears, back off to 0.6x",Drums only,,Performance ground,Must be butter.
4.02,00:25.4,1.1,4A,"Her hands - wrist turning, fingers extending",D,dancer hands wrist turning close up,graceful hands dance slow motion; African dancer fingers,"Filmsupply, Artgrid, Pond5",50-60,Commercial,BUILD IT: crop in from 4.01 with a Scale keyframe to 200% on the hands. Only works if 4.01 is 4K.,ECU,Slow dolly,120,-,"0.4x Optical Flow; HSL Orange: skin luminance +10, sat +4",Drums only,,Performance ground,Do not over-smooth skin.
4.03,00:26.5,1.0,4A,"Fabric of the umushanana sliding, sash trailing",C,flowing fabric slow motion backlit,dress fabric wind slow motion golden; silk cloth dance,"Filmsupply, Artgrid, Shutterstock",50-240,Commercial,Very plentiful as generic fabric - loses the umushanana specificity but keeps the beauty.,CU,Static,240,-,Speed 0.3x; Soft Focus 8,Fabric,,Performance ground,The breath before the storm.
4.04,00:27.5,0.5,4B,"THE LEAP - full Intore line jumps simultaneously, manes airborne, spears up",B,Intore dance jump warriors Rwanda,Rwandan traditional dance jumping; African warrior dance leaps spears,"Pond5, Getty (editorial), Shutterstock, Artgrid",24-30 (rarely 50+),EDITORIAL likely,THE critical buy. Search every library; check Rwandan contributors on Pond5 directly. If no group leap exists: use a single-dancer leap and build the 'line' with three jump cuts (see 4.16).,"Wide, low angle",Locked,240,H (DROP 2),Speed Customized: 1x > 0.5x at apex > 1x on landing. Apex sits ON the downbeat. Sub-boom + real stomp at -3dB,Sub-boom + stomp + crowd,INTORE - UMUHAMIRIZO,Performance ground,"Signature shot. Ramp OFF the beat, not into it."
4.05,00:28.0,0.4,4B,"Landing - feet hit earth, dust explodes upward",C,dust explosion feet stomp ground slow motion,feet landing dust; African dance stomp earth slow motion,"Artgrid, Filmsupply, Pond5",100-240 native slo-mo,Commercial,Substitute: generic 'feet hitting dusty ground' slo-mo (plentiful in Western/African desert stock) + the real stomp audio from A3. The audience will not question the geography.,Ground-level CU,Locked,240,B,Speed Customized: 1x > 0.2x for 5f > 1.2x. Bling Shake 12 for 4 frames only,LOUD IMPACT - loudest point in the whole mix,,Performance ground,THE signature shot of the film.
4.06,00:28.4,0.4,4B,"Dancer's face mid-cry, sweat, mane across the eyes",B,African dancer face intense close up,warrior face shouting sweat; dancer portrait intense,"Filmsupply, Getty, Pond5",24-60,Commercial or editorial,-,ECU,Handheld,120,B,"Freeze 2 frames on beat then release; contrast +12, clarity +15",War cry,,Performance ground,
4.07,00:28.8,0.4,4B,Spear thrust forward into the lens,C,spear thrust toward camera,African warrior spear; spear thrust motion blur,"Shutterstock, Pond5, Getty",24-30,Commercial or editorial,Substitute: a stick/staff thrust toward lens (plentiful as martial-arts or tribal stock) reads identically at 4 frames.,"CU, foreground",-,60,B,Bling Zoom 15 on thrust frame; hard whoosh,Whoosh + spear cut,,Performance ground,
4.08,00:29.2,0.5,4B,Shields clashing in unison across the line,C,shields clashing warriors,African tribal shields; warriors shields banging together,"Pond5, Getty, Shutterstock",24-30,EDITORIAL likely,Substitute: two hands clapping hard in unison (plentiful) + shield-clack SFX. Cut to it fast enough and it reads.,Wide,Locked,60,B,A3 shield-clack full level; duck A1 by 5dB for 8 frames,Shield clack,,Performance ground,
4.09,00:29.7,0.5,4B,Ankle bells in a blur of stomp,D,ankle bells blur stomp feet,amayugi; dancer feet bells fast,"Pond5, Getty",24-30,EDITORIAL likely,"BUILD IT: same as 2.06 - crop a wide stomp shot, add bell SFX. Or cut to a dust-cloud close-up instead.",ECU,Static,240,B,"Speed 0.35x; bell audio isolated, pitched slightly up",amayugi bells,,Performance ground,
4.10,00:30.2,0.5,4B,Formation change - line collapses and reforms,D,top down dancers formation drone,aerial top down dance formation; drone circle dancers,"Artgrid, Pond5",24-30,Commercial,BUILD IT: take any wide performance shot and keyframe Rotation + Scale to fake a top-down drift. Or drop the shot and re-time the act.,Top-down wide,Drone,60,B,Keyframe Rotation 0>8deg over the clip,Stomps,,Performance ground,Top-down = graphic relief.
4.11,00:30.7,0.4,4B,"A woman dancing umuhamirizo - reclaiming the warrior dance, full commitment leap",C,woman warrior dance jump Africa,African woman dancing energetic leap; female traditional dancer jumping,"Pond5, Getty, Shutterstock",24-30,EDITORIAL likely,"Substitute: any woman leaping in traditional dress. Keep this shot - the inclusion is a deliberate creative decision, not a nice-to-have.",MS,Handheld pan,240,B,0.5x curve. Hold her leap as long as the men's,War cry,,Performance ground,Deliberate inclusion. Non-negotiable.
4.12,00:31.1,0.4,4B,"Drummers - full umutagara ensemble, sticks blurring",A,African drummers ensemble playing,ingoma drummers group; drum line performance Africa,"Artgrid, Pond5, Shutterstock, Getty",24-60,Commercial or editorial,-,Wide detail,Handheld,120,B,Speed 1.1x (over real time reads as frenzy),Full ensemble,,Drum line,
4.13,00:31.5,0.5,4B,"A child mimics the leap in the foreground, delighted; dancers soft behind",A,children dancing playing Africa joyful,Rwandan kids dancing; African children jumping laughing,"Getty, Shutterstock, Pond5",24-60,Commercial (model release),Plentiful. Use the depth-of-field effect to separate the planes.,Two-plane MS,Static,60,B,Blur 20 on the background plane (depth-of-field effect),Child giggle,,Audience edge,Two-plane depth = production value.
4.14,00:32.0,0.5,4B,"Ibyivugo - poet steps forward reciting self-praise verse, arm outstretched",D,African elder speaking reciting gesture,poet reciting; man speaking arm raised traditional,"Getty, Pond5",24-30,EDITORIAL likely,BUILD IT: buy a 'man speaking/gesturing' MCU and put a real ibyivugo recording on A5. The voice carries the verse; the face does not need to be a poet.,MCU,Slow push,60,B,"Keyframe Scale 100>106. If he speaks, duck A1 to -10dB for the line",Ibyivugo voice (A5),,Performance ground,Optional spoken line #1.
4.15,00:32.5,0.4,4B,"Horn (amakondera) player, cheeks full - the traditional arrival cue",C,African horn trumpet player,amakondera; traditional horn instrument Africa,"Pond5, Getty, Shutterstock",24-30,EDITORIAL likely,Substitute: a drum or flute close-up + a real horn hit in A3. Or buy any 'brass/horn player' - at 4 frames the specificity is unreadable.,CU,Static,60,B,Real horn hit in A3,Horn,,Performance ground,Horns announce the Intore's arrival.
4.16,00:32.9,0.5,4B,"Three leaps, jump-cut in sequence, same framing, different dancers",B,three dancers jumping sequence,Intore dance leap; African dancers jumping wide,"Pond5, Getty, Shutterstock",24-30,EDITORIAL likely,"BUILD IT from 4.04: three separate jump cuts of the same clip at different in-points, re-cropped left/centre/right. Reads as a drum roll.","Wide, locked",Locked,240,B x3,Three 5-frame cuts inside one beat cluster - reads as a drum roll,Three stomps,,Performance ground,Identical framing is what makes it work.
4.17,00:33.4,0.5,4B,"The mane filling the frame, whipping sideways in slow motion",C,sisal mane hair whipping slow motion,dancer headdress fibres flying; long hair whipping backlit slo-mo,"Filmsupply, Artgrid, Pond5",50-240,Commercial,Substitute: generic long hair/fibre whipping in backlight (very plentiful). Arguably more beautiful than the real thing at 0.3x.,ECU,-,240,B,"Speed 0.3x; Glow 20, highlights +15",Sisal whoosh,,Performance ground,Most beautiful texture in the film. Shape echo -> 5.05.
4.18,00:33.9,0.6,4B,"Whole line at the apex of a leap, silhouetted against a low sun",B,dancers silhouette sunset jump,African dancers silhouetted leaping sunset; jump against sun,"Artgrid, Filmsupply, Getty",24-60,Commercial,-,"Wide, backlit",Locked,120,B,"Exposure -15 (crush to silhouette), highlights +20 (keep the rim)",Unison stomp,,Performance ground,
4.19,00:34.5,0.5,4B,"Crowd clapping, hands in unison, faces lit",A,crowd clapping hands audience,people clapping joyful; African crowd cheering hands,"Getty, Shutterstock, Filmsupply",24-60,Commercial,-,Wide,Handheld,60,B,Crowd clap at -4dB - carries into Act 5,CROWD CLAP,,Audience,The handoff to the exhale.
5.01,00:38.0,3.0,5,"THE EXHALE - one held shot: dancer chest heaving, sweat, a slow smile breaking; or dust hanging in golden light as everything goes quiet",C,dancer breathing sweat slow motion smile,exhausted dancer portrait; person catching breath smiling slo-mo,"Filmsupply, Artgrid, Getty",50-120,Commercial,THE exhale. Buy the best face you can afford here - three seconds of it is the emotional peak. Prefer native slow motion.,MCU,Locked,240,from 4.19,Speed 0.35x + Optical Flow. Halo Blur 12. ONE CONTINUOUS SHOT - do not cut it. Protect from effects creep.,"Music sustains under, near-silence",,Performance ground,Emotional peak of the film.
5.02,00:41.0,1.5,5,"Grandmother's hands weaving agaseke (peace basket), geometric coil",B,agaseke basket weaving Rwanda hands,African basket weaving close up; artisan hands craft Rwanda,"Pond5, Shutterstock, Getty",24-30,Commercial or editorial,-,"Macro, 9:16",Slow dolly,60,D,"Keyframe Scale 100>104; temp +12, Glow 10",Fibre rasp,,Craft co-op,Abantu n'igihugu card at 00:41.2
5.03,00:42.5,1.2,5,"An elder's face, full frame, still - he looks into the lens and holds it",A,elderly African man portrait still face,old man close up dignified; Rwandan elder portrait,"Getty, Artgrid, Pond5",24-30,Commercial (model release),-,ECU portrait,Locked,60,D,"Grain 12, soft vignette 8. NO other effect. Hold it.",Silence + distant drum,,Community,Stillness after 38s of movement is the point.
5.04,00:43.7,1.2,5,"Children running a dirt path between banana trees, laughing, toward camera",A,children running path banana trees,African kids running dirt road laughing; children village path,"Getty, Shutterstock, Pond5",50-120,Commercial (model release),-,MS,Gimbal backing up,120,B,Speed 0.7x; laughter A2 -10dB,Children laughing,,Rural path,
5.05,00:44.9,1.3,5,"Rolling hills at golden hour, terraced, mist returning - full circle to Act 1",A,Rwanda rolling hills golden hour aerial,thousand hills sunset drone; terraced landscape golden aerial,"Artgrid, Pond5, Shutterstock",24-30,Commercial,-,Extreme wide,Drone pull-back,60,X,"Effects Nature Sunset 15 OR manual: temp +14, highlights -10, shadows +8, Glow 18",Wind,,Thousand hills,Shape echo from 4.17 mane.
5.06,00:46.2,1.0,5,"A face in the crowd watching the dancers - tears or laughter, ambiguous, alive",A,face in crowd watching emotional,woman watching performance tears joy; audience face close up,"Getty, Filmsupply, Pond5",24-60,Commercial (model release),-,CU,Handheld,60,D,HSL Orange luminance +10. NO effect. Faces don't need help.,Crowd murmur,,Audience,
5.07,00:47.2,0.8,5,"Water again - Lake Kivu, now gold instead of grey, sun on the surface",A,Lake Kivu sunset gold water,African lake golden hour surface; Rwanda lake dusk,"Artgrid, Pond5, Getty",24-30,Commercial,Buy the same contributor/series as 1.03 if possible so the colour rhyme is a real rhyme.,Wide,Static,60,D,"Direct colour rhyme with 1.03: same framing, opposite temperature",Water lap,,Lake Kivu,
6.01,00:48.0,1.2,6,"Everyone dancing - a visitor, clumsy and joyful, pulled into the line by a dancer",C,group dancing together joyful Africa,community dance circle; people dancing together celebration Africa,"Getty, Pond5, Shutterstock",24-60,Commercial or editorial,Substitute: any joyful mixed-group dancing wide. The 'visitor pulled into the line' specificity will almost certainly have to be dropped or staged locally.,"Wide, 9:16",Gimbal orbit,60,B,Speed 0.8x; crowd + drum audio full,Full crowd + drums,,Community ground,THESIS SHOT: recreation as belonging.
6.02,00:49.2,1.0,6,Hands clapping across the circle cut with feet stomping earth,A,hands clapping feet stomping close up,clapping hands rhythm; dancing feet dust close up,"Filmsupply, Artgrid, Shutterstock",50-120,Commercial,-,CU x2,Static,120,B x2,Two 4-frame cuts. Pure rhythm.,Claps + stomps,,Community ground,
6.03,00:50.2,1.2,6,"Full troupe + crowd, one frame, dancing together at golden hour",B,dancers crowd golden hour wide aerial,African celebration crowd drone sunset; group dance aerial,"Artgrid, Pond5, Getty",24-30,Commercial or editorial,Fake the drone lift with Scale 100->90 + Position keyframes on a locked wide.,Wide,Drone rising,60,B,Keyframe Scale 100>90 AND Position Y +120px together (drone-lift feel),Ensemble,,Community ground,
6.04,00:51.4,1.0,6,"A dancer's leap against the setting sun, silhouette",B,dancer leap silhouette sunset,jumping figure against setting sun; silhouette dance sunset,"Artgrid, Filmsupply, Getty",24-60,Commercial,Thumbnail candidate - buy this one well.,"Wide, backlit",Locked,120,B,"Exposure -18, rim highlights +22",Stomp,,Community ground,Thumbnail candidate.
6.05,00:52.4,1.4,6,"Lake Kivu at dusk, longhorn inyambo cattle silhouetted along the shore",C,Ankole cattle long horns sunset silhouette,inyambo royal cattle Rwanda; African longhorn cattle dusk,"Pond5, Getty, Shutterstock",24-30,Commercial or editorial,Substitute: 'African cattle herd sunset' (plentiful). Ankole/inyambo specific is scarce but does exist on Pond5 and Getty.,Wide,Slow dolly,60,D,Sunset Rays 18 low intensity; temp +16,Cattle + water,,Lake Kivu shore,
6.06,00:53.8,1.4,6,"Night - a fire, sparks rising, faces lit orange, drumming continuing off-frame",A,campfire night sparks faces,fire night embers people; bonfire faces lit orange,"Artgrid, Filmsupply, Pond5",24-60,Commercial,-,"MS, fire-backlit",Handheld,60,D,Particles/Sparkle 12 for embers; firelight in A3,Fire crackle + distant drums,,Night camp,
6.07,00:55.2,1.6,6,"THE LAST FACE - a dancer catching breath, looks straight into the lens and smiles. Hold.",B,person close up smile into camera warm,dancer smiles at camera; portrait warm light direct address,"Filmsupply, Getty, Artgrid",24-60,Commercial (model release),The last face. Buy direct eye contact - many stock portraits have the subject looking away.,ECU,Locked,120,D,Speed 0.8x. HOLD for the final drum hit at 00:56.8,"Breath, then final drum hit",,Night camp,Music decays to ambience only.
6.08,00:56.8,2.0,6,"Wide of the hills at dusk, mist returning - the same valley as 1.01. Full circle.",A,hills dusk mist valley wide,mountains fog evening; Rwanda valley dusk aerial,"Artgrid, Pond5, Shutterstock",24-30,Commercial,"Match the composition of 1.01 as closely as the library allows - ideally the SAME clip, regraded warmer.",Extreme wide,Locked,60,D,"Same grade as 1.01 but warmer. Ends in the same place, changed.",Ambience only,,Virunga valley,
6.09,00:58.8,1.2,6,CLOSING CARD,A,-,-,-,-,-,"No picture needed: closing card over the tail of 6.08, or over black.",Title card,-,-,Fade,Text In: Fade+Blur; Out: Fade. Fade to black over last 12 frames.,Ambience tail,UMURIRO W'URWANDA / Come to rest. Leave dancing. / Rwanda - Land of a Thousand Hills,-,"3 stacked text blocks, staggered 6 frames apart."
