ID,Site,Gender,Age,Education,Phone,Internet,LangLuganda,LangEnglish,Uses_NVprint,Uses_Bukedde,Uses_VisionTV,Uses_RadioVision,Uses_Website,YearsUsing,OtherSource,C1_understand,C2_decisions,C3_discuss,C4_trust_vs_rumour,C5_favours_govt,C6_ignores_opposition,C7_health_helped,C8_education_helped,C9_language_culture,C10_uganda_better,Trust_NVprint,Trust_Bukedde,Trust_NVonline,Trust_Monitor,Trust_NBSNTV,Trust_UBC,Trust_FBnews,Trust_WhatsApp,MIP,MIP_Source,D4_election_fairness,D5_recall,D5_which,E1_access,E2_follow,E3_epaper,E4_pay_monthly_UGX,E5_social_effect,E6_barrier,F1_memorable
Q-17 (SIM),Kampala,F,51+,Diploma+,Smart,Daily,Y,Y,Y,N,N,Y,N,1-5,Monitor,5,3,4,4,5,4,2,3,4,3,6,8,5,6,7,6,0,3,Economy/jobs,TV,Govt-slightly,No,,Smartphone,FB,Never-heard,5-15k,More,Interest,Health info helped family
Q-18 (SIM),Kampala,M,18-30,Primary,Smart,Weekly,Y,N,Y,N,Y,Y,N,1-5,Monitor,2,4,4,4,5,3,4,3,4,4,4,7,5,8,7,4,6,3,Agriculture,Radio,Govt-strongly,No,,None,None,Free,0,More,Data-cost,Knowing government programmes
Q-19 (SIM),Kampala,M,51+,Diploma+,Basic,Weekly,Y,Y,Y,Y,N,Y,N,6-10,Monitor,4,3,4,3,5,4,5,3,3,3,4,8,4,8,6,4,4,5,Roads/infrastructure,TV,Govt-slightly,Yes,Malaria/immunisation campaign,Smartphone,TikTok,Stopped,0,Less,Data-cost,Knowing government programmes
Q-20 (SIM),Kampala,F,18-30,Primary,Basic,Weekly,Y,Y,Y,Y,N,N,Y,11-20,Monitor,4,4,5,4,5,3,5,3,3,3,5,7,10,8,7,7,5,5,Education,Other paper,Opposition,No,,None,YouTube,Never-heard,0,Same,No-smartphone,Health info helped family
Q-21 (SIM),Kampala,F,18-30,Secondary,Basic,Rarely,Y,Y,N,N,Y,Y,Y,<1,Radio,5,5,4,3,4,3,4,3,2,3,6,10,4,5,8,7,3,3,Economy/jobs,Radio,Balanced,Yes,School/UPE/exam guidance,None,YouTube,Stopped,0,Same,Data-cost,Health info helped family
Q-22 (SIM),Kampala,F,31-50,Secondary,Basic,Weekly,Y,N,Y,N,N,N,N,1-5,Monitor,3,3,3,4,3,3,4,4,4,4,3,6,6,4,6,4,4,3,Health,NV-newspaper,Govt-strongly,Yes,School/UPE/exam guidance,Smartphone,None,Dont-know,0,Less,Data-cost,Health info helped family
Q-23 (SIM),Kampala,F,18-30,Primary,Smart,Rarely,Y,Y,Y,Y,Y,Y,N,6-10,NBS/NTV,3,3,2,3,4,2,3,4,4,3,8,8,6,7,6,6,0,1,Education,Radio,Govt-strongly,Yes,Malaria/immunisation campaign,Smartphone,YouTube,Free,0,More,Data-cost,Health info helped family
Q-24 (SIM),Kampala,F,31-50,Diploma+,Basic,Daily,Y,Y,Y,N,Y,N,N,20+,Social,4,5,5,4,5,2,4,2,5,2,8,6,3,8,6,5,8,2,Education,NV-newspaper,Govt-slightly,No,,None,YouTube,Free,0,More,Data-cost,Education/exam guides
Q-25 (SIM),Kampala,M,18-30,Secondary,Smart,Daily,N,N,Y,Y,N,Y,Y,<1,Monitor,3,3,4,5,3,3,5,5,2,3,7,6,6,7,4,6,3,2,Corruption,Other paper,Govt-strongly,No,,Smartphone,None,Dont-know,0,More,No-smartphone,Health info helped family
Q-26 (SIM),Rukungiri,M,31-50,Primary,Basic,Daily,Y,Y,Y,Y,Y,N,N,11-20,Radio,4,3,3,5,5,3,3,4,2,3,5,6,6,5,3,9,7,2,Corruption,Radio,Govt-strongly,No,,None,TikTok,Never-heard,0,Same,No-smartphone,Health info helped family
Q-27 (SIM),Rukungiri,F,18-30,Diploma+,Basic,Rarely,N,Y,Y,N,N,N,N,1-5,Radio,4,3,4,5,4,3,4,4,4,5,5,6,7,9,7,4,4,4,Health,NV-online/social,Govt-slightly,Yes,School/UPE/exam guidance,Smartphone,YouTube,Dont-know,5-15k,More,Data-cost,Education/exam guides
Q-28 (SIM),Rukungiri,M,31-50,Secondary,None,Never,Y,Y,Y,Y,N,Y,N,<1,Social,4,5,3,5,3,3,3,4,3,2,7,10,8,9,5,4,4,2,Economy/jobs,NV-newspaper,Govt-slightly,No,,Smartphone,None,Never-heard,0,More,Electricity,Health info helped family
Q-29 (SIM),Rukungiri,M,31-50,Diploma+,Smart,Never,Y,Y,Y,N,Y,Y,Y,1-5,Monitor,5,3,4,3,4,3,5,5,2,1,7,3,5,5,8,7,1,3,Economy/jobs,TV,Govt-strongly,Yes,School/UPE/exam guidance,None,None,Free,0,Same,Data-cost,Knowing government programmes
Q-30 (SIM),Rukungiri,M,51+,Diploma+,Smart,Weekly,Y,N,Y,Y,Y,Y,N,20+,Social,3,5,3,3,3,2,4,4,2,4,7,8,7,8,9,9,4,5,Economy/jobs,NV-newspaper,Govt-strongly,No,,Laptop,X,Free,0,Less,Language,Knowing government programmes
Q-31 (SIM),Rukungiri,F,18-30,Secondary,Smart,Daily,Y,Y,N,N,N,Y,N,6-10,NBS/NTV,4,3,3,4,2,3,5,4,3,2,7,5,7,5,3,5,5,5,Agriculture,NV-newspaper,Govt-slightly,Yes,School/UPE/exam guidance,Smartphone,X,Free,0,Same,No-smartphone,Health info helped family
Q-32 (SIM),Rukungiri,M,18-30,Secondary,Smart,Rarely,Y,Y,Y,N,N,N,Y,6-10,NBS/NTV,4,4,2,4,3,3,3,5,3,4,6,1,4,9,6,5,1,2,Education,TV,Govt-slightly,Yes,Malaria/immunisation campaign,Smartphone,TikTok,Pay,0,Same,No-smartphone,Luganda/Bukedde inclusion
Q-33 (SIM),Rukungiri,M,18-30,Primary,Smart,Never,Y,N,Y,Y,Y,Y,Y,6-10,NBS/NTV,4,5,5,5,3,3,4,4,4,3,8,6,7,6,6,8,7,4,Economy/jobs,Friends/family,Govt-strongly,No,,None,X,Dont-know,0,Less,Network,Health info helped family
Q-34 (SIM),Rukungiri,F,31-50,Diploma+,Basic,Weekly,Y,N,Y,Y,N,N,N,1-5,Radio,5,5,4,3,4,2,3,4,5,3,6,6,5,9,3,7,5,5,Roads/infrastructure,Radio,Balanced,No,,Smartphone,None,Never-heard,<5k,More,No-smartphone,Health info helped family
Q-35 (SIM),Rukungiri,F,18-30,Primary,Smart,Rarely,Y,N,Y,N,Y,Y,Y,1-5,Social,4,4,2,5,2,2,3,3,2,3,4,7,5,9,7,4,2,2,Health,Friends/family,Govt-slightly,Yes,Malaria/immunisation campaign,Smartphone,TikTok,Never-heard,<5k,More,Data-cost,Health info helped family
Q-36 (SIM),Rukungiri,M,18-30,Diploma+,Smart,Rarely,N,N,Y,N,N,N,N,1-5,Monitor,5,4,2,3,4,2,4,5,4,3,6,5,6,4,6,6,9,0,Economy/jobs,NV-newspaper,Govt-strongly,No,,Laptop,FB,Dont-know,0,More,Language,Health info helped family
Q-37 (SIM),Rukungiri,M,31-50,Secondary,None,Never,Y,Y,Y,Y,N,Y,Y,20+,Social,4,4,4,4,4,3,3,4,3,4,4,9,4,10,6,6,4,5,Roads/infrastructure,TV,Opposition,Yes,School/UPE/exam guidance,None,None,Dont-know,0,Less,Data-cost,Education/exam guides
Q-38 (SIM),Rukungiri,F,51+,Primary,Smart,Never,N,Y,Y,N,Y,Y,N,6-10,Monitor,4,3,5,5,2,5,4,4,3,2,9,8,7,6,5,4,2,3,Education,TV,Govt-slightly,Yes,School/UPE/exam guidance,Smartphone,YouTube,Dont-know,<5k,Same,Data-cost,Health info helped family
Q-39 (SIM),Rukungiri,F,51+,Primary,Smart,Daily,Y,Y,Y,Y,Y,Y,N,11-20,Monitor,5,3,3,4,2,4,3,4,2,4,6,7,8,6,5,7,4,3,Health,NV-newspaper,Govt-slightly,No,,Smartphone,None,Free,0,More,Network,Education/exam guides
Q-40 (SIM),Rukungiri,F,51+,Primary,Smart,Never,Y,Y,Y,Y,N,N,Y,11-20,Social,4,4,3,3,3,1,5,3,3,4,4,6,8,8,5,4,5,0,Corruption,Radio,Balanced,Yes,Malaria/immunisation campaign,None,TikTok,Never-heard,0,More,Language,Election information
